Monthly electricity generation by source for all of Canada,
from January 2023, to February 2026, scaled to gigawatt-hours https://doi.org/10.25318/2510001501-eng

Hydraulic   Nuclear   Combustible   Wind   Solar   Other
395.7    74.9    119.1    33.7    1.3    0.1
351.8    68.7    99.2    41.2    2.5    0.1
359.7    67.7    103.4    35.9    4.3    0.1
295.4    64.3    89.6    36.8    4.7    0.1
288.6    65.2    89.0    30.6    6.2    0.1
264.3    68.4    98.4    23.4    5.7    0.1
269.2    74.9    120.3    19.5    5.9    0.1
256.8    77.0    112.8    23.3    5.3    0.1
243.7    69.8    101.6    23.5    4.6    0.1
251.2    70.6    100.2    36.7    2.7    0.1
296.2    68.8    114.9    46.7    2.0    0.2
320.4    75.4    121.8    45.3    1.4    0.3
366.6    78.7    139.1    42.8    1.5    0.3
307.8    68.1    115.1    41.0    3.5    0.2
295.5    64.1    110.4    44.3    4.4    0.2
260.2    52.0    91.9    47.3    5.2    0.2
251.8    53.4    98.9    33.0    5.9    0.3
260.5    67.5    90.4    31.3    6.2    0.2
287.7    75.3    124.6    24.1    7.0    0.2
263.2    73.7    120.8    25.8    5.8    0.3
239.9    71.5    107.5    30.8    5.3    0.2
249.6    66.0    107.1    45.5    4.2    0.2
279.6    66.4    110.2    44.4    1.8    0.3
355.9    80.6    129.6    48.1    1.5    0.3
393.7    77.9    137.8    55.6    2.2    0.4
349.2    61.5    135.0    43.8    2.6    0.3
326.0    70.1    113.4    51.2    4.9    0.4
271.4    71.0    93.7    45.8    6.3    0.3
256.9    75.5    84.7    40.0    7.2    0.3
245.3    73.1    99.1    34.8    7.6    0.3
265.7    69.7    129.9    27.1    7.4    0.3
245.6    69.3    126.9    26.3    7.3    0.3
228.7    63.8    116.8    28.7    6.1    0.3
234.0    58.3    120.3    44.9    4.7    0.3
277.2    56.0    125.8    50.9    2.1    0.3
340.0    69.6    150.9    55.8    1.4    0.4
368.1    73.7    151.3    56.7    1.9    0.6
334.4    61.6    133.3    43.1    3.6    0.4

